game_id,matchup,abbr,attendance,conference_game,game_date,neutral_site,venue_id,venue_name,venue_city,venue_state,broadcast_type,network
401525499,Bethune-Cookman Wildcats at Miami Hurricanes,BCU @ MIA,40077,False,2023-09-14T23:30Z,False,3948,Hard Rock Stadium,Miami Gardens,FL,TV,ACCN
401531428,Navy Midshipmen at Memphis Tigers,NAVY @ MEM,25551,True,2023-09-14T23:30Z,False,3805,Simmons Bank Liberty Stadium,Memphis,TN,TV,ESPN
401520231,Virginia Cavaliers at Maryland Terrapins,UVA @ MD,37041,False,2023-09-15T23:00Z,False,3665,SECU Stadium,College Park,MD,TV,FS1
401531396,Army Black Knights at UTSA Roadrunners,ARMY @ UTSA,27138,False,2023-09-15T23:00Z,False,3604,Alamodome,San Antonio,TX,TV,ESPN
401532581,Utah State Aggies at Air Force Falcons,USU @ AFA,18400,True,2023-09-16T00:00Z,False,3713,Falcon Stadium,USAF Academy,CO,TV,CBSSN
401520225,South Carolina Gamecocks at Georgia Bulldogs,SC @ UGA,92746,True,2023-09-16T19:30Z,False,3917,Sanford Stadium,Athens,GA,TV,CBS
401520232,Bowling Green Falcons at Michigan Wolverines,BGSU @ MICH,109955,False,2023-09-16T23:30Z,False,3558,Michigan Stadium,Ann Arbor,MI,TV,BTN
401525500,Florida State Seminoles at Boston College Eagles,FSU @ BC,41383,True,2023-09-16T16:00Z,False,3615,"Alumni Stadium (Chestnut Hill, MA)",Chestnut Hill,MA,TV,ABC
401525840,Wyoming Cowboys at Texas Longhorns,WYO @ TEX,101777,False,2023-09-17T00:00Z,False,3910,DKR-Texas Memorial Stadium,Austin,TX,TV,LHN
401520240,Western Kentucky Hilltoppers at Ohio State Buckeyes,WKU @ OSU,100217,False,2023-09-16T20:00Z,False,3861,Ohio Stadium,Columbus,OH,TV,FOX
401520226,Penn State Nittany Lions at Illinois Fighting Illini,PSU @ ILL,49099,True,2023-09-16T16:00Z,False,3832,"Memorial Stadium (Champaign, IL)",Champaign,IL,TV,FOX
401520233,Washington Huskies at Michigan State Spartans,WASH @ MSU,70528,False,2023-09-16T21:00Z,False,3936,Spartan Stadium,East Lansing,MI,Streaming,Peacock
401525437,Central Michigan Chippewas at Notre Dame Fighting Irish,CMU @ ND,77622,False,2023-09-16T18:30Z,False,3855,Notre Dame Stadium,Notre Dame,IN,Streaming,Peacock
401520244,Alabama Crimson Tide at South Florida Bulls,ALA @ USF,65138,False,2023-09-16T19:30Z,False,3886,Raymond James Stadium,Tampa,FL,TV,ABC
401520224,Tennessee Volunteers at Florida Gators,TENN @ FLA,90751,True,2023-09-16T23:00Z,False,3634,Ben Hill Griffin Stadium,Gainesville,FL,TV,ESPN
401524012,Weber State Wildcats at Utah Utes,WEB @ UTAH,51532,False,2023-09-16T18:00Z,False,587,Rice-Eccles Stadium,Salt Lake City,UT,TV,PAC12
401524008,Hawai'i Rainbow Warriors at Oregon Ducks,HAW @ ORE,52779,False,2023-09-17T00:00Z,False,3626,Autzen Stadium,Eugene,OR,TV,PAC12
401520235,LSU Tigers at Mississippi State Bulldogs,LSU @ MSST,60084,True,2023-09-16T16:00Z,False,3693,Davis Wade Stadium,Starkville,MS,TV,ESPN
401520236,Kansas State Wildcats at Missouri Tigers,KSU @ MIZ,62621,False,2023-09-16T16:00Z,False,3838,Memorial Stadium/Faurot Field,Columbia,MO,TV,SECN
401524009,San Diego State Aztecs at Oregon State Beavers,SDSU @ ORST,35591,False,2023-09-16T19:30Z,False,3893,Reser Stadium,Corvallis,OR,TV,FS1
401520241,Georgia Tech Yellow Jackets at Ole Miss Rebels,GT @ MISS,64150,False,2023-09-16T23:30Z,False,3974,Vaught-Hemingway Stadium,Oxford,MS,TV,SECN
401524007,Colorado State Rams at Colorado Buffaloes,CSU @ COLO,53141,False,2023-09-17T02:00Z,False,3726,Folsom Field,Boulder,CO,TV,ESPN
401525842,Oklahoma Sooners at Tulsa Golden Hurricane,OU @ TLSA,30855,False,2023-09-16T19:30Z,False,3674,Chapman Stadium,Tulsa,OK,TV,ESPN2
401520239,Minnesota Golden Gophers at North Carolina Tar Heels,MINN @ UNC,45151,False,2023-09-16T19:30Z,False,3787,Kenan Stadium,Chapel Hill,NC,TV,ESPN
401520223,Northwestern Wildcats at Duke Blue Devils,NU @ DUKE,18141,False,2023-09-16T19:30Z,False,3982,Wallace Wade Stadium,Durham,NC,TV,ACCN
401524013,Northern Colorado Bears at Washington State Cougars,UNCO @ WSU,23595,False,2023-09-16T21:00Z,False,3820,Gesa Field,Pullman,WA,TV,PAC12
401524011,North Carolina Central Eagles at UCLA Bruins,NCCU @ UCLA,38343,False,2023-09-16T21:00Z,False,1056,Rose Bowl,Pasadena,CA,TV,PAC12
401520227,Western Michigan Broncos at Iowa Hawkeyes,WMU @ IOWA,69250,False,2023-09-16T19:30Z,False,3793,Kinnick Stadium,Iowa City,IA,TV,BTN
401520222,Liberty Flames at Buffalo Bulls,LIB @ BUFF,13020,False,2023-09-16T16:00Z,False,3965,UB Stadium,Buffalo,NY,TV,CBSSN
401520230,Louisville Cardinals at Indiana Hoosiers,LOU VS IU,0,False,2023-09-16T16:00Z,True,3812,Lucas Oil Stadium,Indianapolis,IN,TV,BTN
401520249,Georgia Southern Eagles at Wisconsin Badgers,GASO @ WIS,75610,False,2023-09-16T16:00Z,False,347,Camp Randall Stadium,Madison,WI,TV,BTN
401525504,Wake Forest Demon Deacons at Old Dominion Monarchs,WAKE @ ODU,18276,False,2023-09-16T16:00Z,False,3918,S.B. Ballard Stadium,Norfolk,VA,TV,ESPN2
401525834,Long Island University Sharks at Baylor Bears,LIU @ BAY,43732,False,2023-09-16T16:00Z,False,4727,McLane Stadium,Waco,TX,Streaming,BIG12|ESPN+
401525838,Iowa State Cyclones at Ohio Bobcats,ISU @ OHIO,21991,False,2023-09-16T16:00Z,False,3876,Peden Stadium,Athens,OH,TV,ESPNU
401532404,Central Connecticut Blue Devils at Kent State Golden Flashes,CCSU @ KENT,10731,False,2023-09-16T16:00Z,False,3696,Dix Stadium,Kent,OH,Streaming,ESPN+
401532582,North Dakota Fighting Hawks at Boise State Broncos,UND @ BOIS,35610,False,2023-09-16T16:00Z,False,3653,Albertsons Stadium,Boise,ID,TV,FS1
401525502,VMI Keydets at NC State Wolfpack,VMI @ NCSU,56919,False,2023-09-16T18:00Z,False,3670,Carter-Finley Stadium,Raleigh,NC,TV,CW NETWORK
401526834,Massachusetts Minutemen at Eastern Michigan Eagles,MASS @ EMU,16138,False,2023-09-16T18:00Z,False,3912,Rynearson Stadium,Ypsilanti,MI,Streaming,ESPN+
401531388,Norfolk State Spartans at Temple Owls,NORF @ TEM,10932,False,2023-09-16T18:00Z,False,3806,Lincoln Financial Field,Philadelphia,PA,Streaming,ESPN+
401532402,Indiana State Sycamores at Ball State Cardinals,INST @ BALL,15054,False,2023-09-16T18:00Z,False,3919,Scheumann Stadium,Muncie,IN,Streaming,ESPN+
401520243,Virginia Tech Hokies at Rutgers Scarlet Knights,VT @ RUTG,52657,False,2023-09-16T19:30Z,False,6577,SHI Stadium,Piscataway,NJ,TV,BTN
401520246,Florida International Panthers at UConn Huskies,FIU @ CONN,20405,False,2023-09-16T19:30Z,False,3892,Pratt & Whitney Stadium,East Hartford,CT,TV,CBSSN
401531412,East Carolina Pirates at Appalachian State Mountaineers,ECU @ APP,40168,False,2023-09-16T19:30Z,False,3792,Kidd Brewer Stadium,Boone,NC,Streaming,ESPN+
401520245,UL Monroe Warhawks at Texas A&M Aggies,ULM @ TA&M,93090,False,2023-09-16T20:00Z,False,3795,Kyle Field,College Station,TX,Streaming,SECN+
401524006,Idaho Vandals at California Golden Bears,IDHO @ CAL,36810,False,2023-09-16T20:00Z,False,3831,California Memorial Stadium,Berkeley,CA,TV,PAC12
401531348,Tulane Green Wave at Southern Miss Golden Eagles,TULN @ USM,25038,False,2023-09-16T20:00Z,False,3815,M. M. Roberts Stadium,Hattiesburg,MS,TV,ESPNU
401540598,Furman Paladins at Kennesaw State Owls,FUR @ KENN,6993,False,2023-09-16T21:00Z,False,4899,Fifth Third Stadium,Kennesaw,GA,Streaming,ESPN+
401531403,Georgia State Panthers at Charlotte 49ers,GAST @ CLT,14410,False,2023-09-16T22:00Z,False,4418,Jerry Richardson Stadium,Charlotte,NC,Streaming,ESPN+
401525843,Villanova Wildcats at UCF Knights,VILL @ UCF,44206,False,2023-09-16T22:30Z,False,3652,FBC Mortgage Stadium,Orlando,FL,Streaming,BIG12|ESPN+
401520221,Samford Bulldogs at Auburn Tigers,SAM @ AUB,88043,False,2023-09-16T23:00Z,False,3785,Jordan-Hare Stadium,Auburn,AL,Streaming,ESPN+
401520221,Samford Bulldogs at Auburn Tigers,SAM @ AUB,88043,False,2023-09-16T23:00Z,False,3785,Jordan-Hare Stadium,Auburn,AL,Streaming,SECN+
401520229,North Texas Mean Green at Louisiana Tech Bulldogs,UNT @ LT,17434,False,2023-09-16T23:00Z,False,3776,Joe Aillet Stadium,Ruston,LA,Streaming,ESPN+
401520234,Murray State Racers at Middle Tennessee Blue Raiders,MUR @ MTSU,16605,False,2023-09-16T23:00Z,False,3725,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Streaming,ESPN+
401520237,Northern Illinois Huskies at Nebraska Cornhuskers,NIU @ NEB,86875,False,2023-09-16T23:00Z,False,3834,"Memorial Stadium (Lincoln, NE)",Lincoln,NE,TV,FS1
401520247,Vanderbilt Commodores at UNLV Rebels,VAN @ UNLV,22582,False,2023-09-16T23:00Z,False,6501,Allegiant Stadium,Las Vegas,NV,TV,CBSSN
401525835,Miami (OH) RedHawks at Cincinnati Bearcats,M-OH @ CIN,38193,False,2023-09-16T23:00Z,False,3854,Nippert Stadium,Cincinnati,OH,Streaming,BIG12|ESPN+
401525839,South Alabama Jaguars at Oklahoma State Cowboys,USA @ OKST,53855,False,2023-09-16T23:00Z,False,3646,Boone Pickens Stadium,Stillwater,OK,Streaming,BIG12|ESPN+
401525841,Tarleton State Texans at Texas Tech Red Raiders,TAR @ TTU,56200,False,2023-09-16T23:00Z,False,3784,Jones AT&T Stadium,Lubbock,TX,Streaming,BIG12|ESPN+
401531379,Louisiana Ragin' Cajuns at UAB Blazers,UL @ UAB,21673,False,2023-09-16T23:00Z,False,7221,Protective Stadium,Birmingham,AL,Streaming,ESPN+
401531438,Prairie View A&M Panthers at SMU Mustangs,PV @ SMU,24489,False,2023-09-16T23:00Z,False,3735,Gerald J. Ford Stadium,Dallas,TX,Streaming,ESPN+
401531441,Texas Southern Tigers at Rice Owls,TXSO @ RICE,18103,False,2023-09-16T23:00Z,False,3895,Rice Stadium,Houston,TX,Streaming,ESPN+
401531845,Duquesne Dukes at Coastal Carolina Chanticleers,DUQ @ CCU,18116,False,2023-09-16T23:00Z,False,3654,Brooks Stadium (SC),Conway,SC,Streaming,ESPN+
401531846,Stony Brook Seawolves at Arkansas State Red Wolves,STBK @ ARST,14327,False,2023-09-16T23:00Z,False,3625,Centennial Bank Stadium,Jonesboro,AR,Streaming,ESPN+
401531848,James Madison Dukes at Troy Trojans,JMU @ TROY,26634,True,2023-09-16T23:00Z,False,3975,Veterans Memorial Stadium (AL),Troy,AL,TV,NFL NET
401532403,San José State Spartans at Toledo Rockets,SJSU @ TOL,20039,False,2023-09-16T23:00Z,False,3739,Glass Bowl,Toledo,OH,Streaming,ESPN+
401520220,BYU Cougars at Arkansas Razorbacks,BYU @ ARK,74821,False,2023-09-16T23:30Z,False,3887,Razorback Stadium,Fayetteville,AR,TV,ESPN2
401520228,Akron Zips at Kentucky Wildcats,AKR @ UK,59456,False,2023-09-16T23:30Z,False,3683,Kroger Field,Lexington,KY,TV,ESPNU
401520242,Syracuse Orange at Purdue Boilermakers,SYR @ PUR,61441,False,2023-09-16T23:30Z,False,3907,Ross-Ade Stadium,West Lafayette,IN,TV,NBC
401525503,Pittsburgh Panthers at West Virginia Mountaineers,PITT @ WVU,61106,False,2023-09-16T23:30Z,False,3842,Milan Puskar Stadium,Morgantown,WV,TV,ABC
401524010,Sacramento State Hornets at Stanford Cardinal,SAC @ STAN,23848,False,2023-09-17T00:00Z,False,3940,Stanford Stadium,Stanford,CA,TV,PAC12
401525501,Florida Atlantic Owls at Clemson Tigers,FAU @ CLEM,81295,False,2023-09-17T00:00Z,False,3836,"Memorial Stadium (Clemson, SC)",Clemson,SC,TV,ACCN
401525836,TCU Horned Frogs at Houston Cougars,TCU @ HOU,36049,True,2023-09-17T00:00Z,False,4728,TDECU Stadium,Houston,TX,TV,FOX
401531847,Jackson State Tigers at Texas State Bobcats,JKST @ TXST,24118,False,2023-09-17T00:30Z,False,3644,Bobcat Stadium (TX),San Marcos,TX,Streaming,ESPN+
401524005,Fresno State Bulldogs at Arizona State Sun Devils,FRES @ ASU,46723,False,2023-09-17T02:30Z,False,3947,Mountain America Stadium,Tempe,AZ,TV,FS1
401525837,Kansas Jayhawks at Nevada Wolf Pack,KU @ NEV,44182,False,2023-09-17T02:30Z,False,3816,Mackay Stadium,Reno,NV,TV,CBSSN
401520219,UTEP Miners at Arizona Wildcats,UTEP @ ARIZ,44182,False,2023-09-17T03:00Z,False,3619,Arizona Stadium,Tucson,AZ,TV,PAC12
