label,alternateLabel,detail,value,startDate,endDate,weekStart,weekEnd
Week 1,Week 1,Aug 24-Sep 2,1,2024-08-24 07:00:00+00:00,2024-09-02 06:59:00+00:00,20240824,20240902
Week 2,Week 2,Sep 3-7,2,2024-09-03 07:00:00+00:00,2024-09-07 06:59:00+00:00,20240903,20240907
Week 3,Week 3,Sep 8-14,3,2024-09-08 07:00:00+00:00,2024-09-14 06:59:00+00:00,20240908,20240914
Week 4,Week 4,Sep 15-21,4,2024-09-15 07:00:00+00:00,2024-09-21 06:59:00+00:00,20240915,20240921
Week 5,Week 5,Sep 22-28,5,2024-09-22 07:00:00+00:00,2024-09-28 06:59:00+00:00,20240922,20240928
Week 6,Week 6,Sep 29-Oct 5,6,2024-09-29 07:00:00+00:00,2024-10-05 06:59:00+00:00,20240929,20241005
Week 7,Week 7,Oct 6-12,7,2024-10-06 07:00:00+00:00,2024-10-12 06:59:00+00:00,20241006,20241012
Week 8,Week 8,Oct 13-19,8,2024-10-13 07:00:00+00:00,2024-10-19 06:59:00+00:00,20241013,20241019
Week 9,Week 9,Oct 20-26,9,2024-10-20 07:00:00+00:00,2024-10-26 06:59:00+00:00,20241020,20241026
Week 10,Week 10,Oct 27-Nov 2,10,2024-10-27 07:00:00+00:00,2024-11-02 06:59:00+00:00,20241027,20241102
Week 11,Week 11,Nov 3-9,11,2024-11-03 07:00:00+00:00,2024-11-09 07:59:00+00:00,20241103,20241109
Week 12,Week 12,Nov 10-16,12,2024-11-10 08:00:00+00:00,2024-11-16 07:59:00+00:00,20241110,20241116
Week 13,Week 13,Nov 17-23,13,2024-11-17 08:00:00+00:00,2024-11-23 07:59:00+00:00,20241117,20241123
Week 14,Week 14,Nov 24-30,14,2024-11-24 08:00:00+00:00,2024-11-30 07:59:00+00:00,20241124,20241130
Week 15,Week 15,Dec 1-7,15,2024-12-01 08:00:00+00:00,2024-12-07 07:59:00+00:00,20241201,20241207
Week 16,Week 16,Dec 8-14,16,2024-12-08 08:00:00+00:00,2024-12-14 07:59:00+00:00,20241208,20241214
Bowls,Bowls,Dec 14-Jan 21,1,2024-12-14 08:00:00+00:00,2025-01-21 07:59:00+00:00,20241214,20250121
All-Star,All-Star,Jan 22-Jun 30,1,2025-01-22 08:00:00+00:00,2025-06-30 06:59:00+00:00,20250122,20250630
